+-----+-------------------------+------------+--------+
| PID |          Name           |   Status   |Priority|
|2480 |     nvcontainer.exe     |  Unknown   |   0    |
|1284 |       svchost.exe       |  Unknown   |   0    |
|23036|     servicehost.exe     |  Unknown   |   0    |
|26664| NVDisplay.Container.exe |  Unknown   |   0    |
|27340|     mc-fw-host.exe      |  Unknown   |   0    |
|28564|       svchost.exe       |  Unknown   |   0    |
|22108|        csrss.exe        |  Unknown   |   0    |
|11108|      winlogon.exe       |  Unknown   |   0    |
|7504 |     fontdrvhost.exe     |  Unknown   |   0    |
|21624|         dwm.exe         |  Unknown   |   0    |
|3036 | NVDisplay.Container.exe |  Unknown   |   0    |
|10952|     nvcontainer.exe     |  Unknown   |   0    |
|20572|       svchost.exe       |  Unknown   |   0    |
|29264|       svchost.exe       |  Unknown   |   0    |
|2028 |     ipf_helper.exe      |  Running   |   3    |
|27160|       uihost.exe        |  Running   |   3    |
|9512 |     nvcontainer.exe     |  Running   |   3    |
|3808 |     nvcontainer.exe     |  Running   |   3    |
|3488 |     mc-fw-host.exe      |  Unknown   |   0    |
|6000 |       sihost.exe        |  Running   |   3    |
|17672|       svchost.exe       |  Running   |   3    |
|22864|       svchost.exe       |  Running   |   3    |
|29156|       svchost.exe       |  Running   |   3    |
|22640|      taskhostw.exe      |  Running   |   3    |
|19928|     iGoSwServer.exe     |  Running   |   2    |
|21828|      explorer.exe       |  Running   |   3    |
|28432|       svchost.exe       |  Running   |   3    |
|7172 |     SearchHost.exe      |  Running   |   3    |
|12672|StartMenuExperienceHos...|  Running   |   3    |
|18072|       Widgets.exe       |  Running   |   3    |
|13768|    nvsphelper64.exe     |  Unknown   |   0    |
|14264|   NVIDIA Overlay.exe    |  Running   |   3    |
|13520|    RuntimeBroker.exe    |  Running   |   3    |
|15812|       svchost.exe       |  Running   |   3    |
|25236|    RuntimeBroker.exe    |  Running   |   3    |
|26416|       dllhost.exe       |  Running   |   3    |
|18996|   NVIDIA Overlay.exe    |  Running   |   4    |
|26308|   NVIDIA Overlay.exe    |  Running   |   3    |
|18860|   NVIDIA Overlay.exe    |  Running   |   3    |
|18392|   NVIDIA Overlay.exe    |  Running   |   3    |
|15860|       ctfmon.exe        |  Unknown   |   0    |
|23876|  RtkAudUService64.exe   |  Unknown   |   0    |
|28500|SecurityHealthSystray.exe|  Running   |   3    |
|3968 |  RtkAudUService64.exe   |  Running   |   3    |
|13104|Dell.TechHub.Instrumen...|  Unknown   |   0    |
|14844|    TextInputHost.exe    |  Running   |   5    |
|16816|       svchost.exe       |  Running   |   3    |
|14612|       svchost.exe       |  Running   |   3    |
|16284|       chrome.exe        |  Running   |   3    |
|8296 |       chrome.exe        |  Running   |   3    |
|29140|       chrome.exe        |  Running   |   4    |
|7336 |       chrome.exe        |  Running   |   3    |
|1972 |       chrome.exe        |  Running   |   3    |
|1832 |   AWCC.UCSubAgent.exe   |  Running   |   3    |
|11608|AWGameLibrary.UCSubAge...|  Running   |   3    |
|26440|AWPerformance.UCSubAge...|  Running   |   3    |
|28692|   AlienFXSubAgent.exe   |  Running   |   3    |
|24348|  FxDisplayService.exe   |  Running   |   3    |
|21768|     GameEyeApp.exe      |  Running   |   3    |
|13560|ApplicationFrameHost.exe |  Running   |   3    |
|16356|   SystemSettings.exe    |  Running   |   3    |
|4668 |   UserOOBEBroker.exe    |  Running   |   3    |
|2916 | ShellExperienceHost.exe |  Running   |   3    |
|9048 |    RuntimeBroker.exe    |  Running   |   3    |
|21164|       chrome.exe        |  Running   |   3    |
|11048|       chrome.exe        |  Running   |   3    |
|15752|       svchost.exe       |  Running   |   3    |
|25700|    WidgetService.exe    |  Running   |   3    |
|14964|   msedgewebview2.exe    |  Running   |   3    |
|27060|   msedgewebview2.exe    |  Running   |   3    |
|23768|   msedgewebview2.exe    |  Running   |   4    |
|18404|   msedgewebview2.exe    |  Running   |   3    |
|3064 |   msedgewebview2.exe    |  Running   |   3    |
|29268|   msedgewebview2.exe    |  Running   |   1    |
|21600|   msedgewebview2.exe    |  Running   |   3    |
|24504|  OCControl.Service.exe  |  Unknown   |   0    |
|9888 |      WhatsApp.exe       |  Running   |   3    |
|25492|    RuntimeBroker.exe    |  Running   |   3    |
|22224|      SDXHelper.exe      |  Running   |   3    |
|16016|     FileCoAuth.exe      |  Running   |   3    |
|32776|       dllhost.exe       |  Running   |   3    |
|26632|   Cloudflare WARP.exe   |  Running   |   3    |
|45668|       svchost.exe       |  Unknown   |   0    |
|19844|     XboxPcAppFT.exe     |  Running   |   3    |
|32580|       svchost.exe       |  Unknown   |   0    |
|42244|       svchost.exe       |  Unknown   |   0    |
|34784|       chrome.exe        |  Running   |   3    |
|7908 |        steam.exe        |  Running   |   3    |
|39692|   steamwebhelper.exe    |  Running   |   3    |
|38192|    steamservice.exe     |  Unknown   |   0    |
|40948|   steamwebhelper.exe    |  Running   |   3    |
|28336|   steamwebhelper.exe    |  Running   |   4    |
|35740|   steamwebhelper.exe    |  Running   |   3    |
|39264|   steamwebhelper.exe    |  Running   |   3    |
|45128|   steamwebhelper.exe    |  Running   |   3    |
|35660|   steamwebhelper.exe    |  Running   |   1    |
|11016|   steamwebhelper.exe    |  Running   |   3    |
|25908|       svchost.exe       |  Running   |   3    |
|21356|      ShellHost.exe      |  Running   |   3    |
|15420|Microsoft.SharePoint.exe |  Running   |   2    |
|25788| PhoneExperienceHost.exe |  Running   |   3    |
|37444|       svchost.exe       |  Running   |   3    |
|10736| backgroundTaskHost.exe  |  Running   |   3    |
|27180| backgroundTaskHost.exe  |  Running   |   3    |
